"No.","Time","Source","Destination","Protocol","Length","Info","Source port","Destination port"
"1393","19.897636","192.168.100.103","192.168.100.101","TCP","60","44276  >  55600 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","55600"
"1394","19.897939","192.168.100.103","192.168.100.101","TCP","60","44276  >  30 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","30"
"1395","19.897947","192.168.100.103","192.168.100.101","TCP","60","44276  >  99 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","99"
"1396","19.898103","192.168.100.103","192.168.100.101","TCP","60","44276  >  8194 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","8194"
"1397","19.898242","192.168.100.103","192.168.100.101","TCP","60","44276  >  9943 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","9943"
"1398","19.898247","192.168.100.103","192.168.100.101","TCP","60","44276  >  8087 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","8087"
"1399","19.898460","192.168.100.103","192.168.100.101","TCP","60","44276  >  458 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","458"
"1400","19.898468","192.168.100.103","192.168.100.101","TCP","60","44276  >  541 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","541"
"1401","19.898646","192.168.100.103","192.168.100.101","TCP","60","44276  >  7627 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","7627"
"1402","19.898767","192.168.100.103","192.168.100.101","TCP","60","44276  >  6100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","6100"
"1403","19.898770","192.168.100.103","192.168.100.101","TCP","60","44276  >  146 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","146"
"1404","19.898969","192.168.100.103","192.168.100.101","TCP","60","44276  >  50500 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","50500"
"1405","19.898975","192.168.100.103","192.168.100.101","TCP","60","44276  >  30000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","30000"
"1406","19.899141","192.168.100.103","192.168.100.101","TCP","60","44276  >  5214 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","5214"
"1407","19.902404","192.168.100.103","192.168.100.101","TCP","60","44276  >  7777 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","7777"
"1408","19.902503","192.168.100.103","192.168.100.101","TCP","60","44276  >  1148 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","1148"
"1409","19.902673","192.168.100.103","192.168.100.101","TCP","60","44276  >  3404 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","3404"
"1410","19.902699","192.168.100.103","192.168.100.101","TCP","60","44276  >  83 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","83"
"1411","19.902838","192.168.100.103","192.168.100.101","TCP","60","44276  >  1050 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","1050"
"1412","19.902975","192.168.100.103","192.168.100.101","TCP","60","44276  >  514 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","514"
"1413","19.903067","192.168.100.103","192.168.100.101","TCP","60","44276  >  8652 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","8652"
"1414","19.903161","192.168.100.103","192.168.100.101","TCP","60","44276  >  1149 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","1149"
"1415","19.903253","192.168.100.103","192.168.100.101","TCP","60","44276  >  2718 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","2718"
"1416","19.903348","192.168.100.103","192.168.100.101","TCP","60","44276  >  1718 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","1718"
